City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,60.96,77,75,4.61,broken clouds
1,Huilong,CN,31.8111,121.655,70.93,68,3,14.58,clear sky
2,Ushuaia,AR,-54.8,-68.3,53.26,35,0,1.14,clear sky
3,Pacific Grove,US,36.6177,-121.9166,71.82,86,0,11.5,clear sky
4,Elko,US,41.0002,-115.5012,78.64,12,0,15.01,clear sky
5,Owando,CG,-0.4819,15.8999,71.69,96,90,3.09,overcast clouds
6,Jadu,LY,31.953,12.0261,82.15,25,0,3.65,clear sky
7,Fort Nelson,CA,58.8053,-122.7002,58.59,47,75,8.05,broken clouds
8,Ponta Do Sol,PT,32.6667,-17.1,74.03,91,68,2.37,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,72.52,78,26,15.99,light rain
10,Darovskoy,RU,58.77,47.9564,51.76,85,92,11.14,overcast clouds
11,Hilo,US,19.7297,-155.09,82.27,87,75,9.22,moderate rain
12,Chicama,PE,-7.8447,-79.1469,61.34,66,78,10.29,broken clouds
13,Zhezkazgan,KZ,47.8043,67.7144,57.61,22,0,10.78,clear sky
14,Vostok,RU,46.4856,135.8833,28.53,91,98,11.23,light snow
15,Tarko-Sale,RU,64.9225,77.785,41.81,88,71,11.88,broken clouds
16,Cherskiy,RU,68.75,161.3,32.43,66,80,7.38,broken clouds
17,Norman Wells,CA,65.282,-126.8329,57.24,51,20,3.44,few clouds
18,Tashtyp,RU,52.7939,89.8983,43.83,86,79,5.64,broken clouds
19,Trincomalee,LK,8.5711,81.2335,80.37,77,97,19.84,overcast clouds
20,Tadine,NC,-21.55,167.8833,74.03,82,93,12.73,overcast clouds
21,Mizoch,UA,50.4,26.15,43.3,92,52,7.29,broken clouds
22,Albany,US,42.6001,-73.9662,68.63,89,100,1.01,moderate rain
23,Dores Do Indaia,BR,-19.4633,-45.6017,82.04,33,21,6.98,few clouds
24,Darhan,MN,49.4867,105.9228,42.58,69,61,7.67,broken clouds
25,Kodinsk,RU,58.6881,99.1844,46.15,95,100,9.64,overcast clouds
26,Alofi,NU,-19.0595,-169.9187,80.49,69,40,16.11,scattered clouds
27,Luderitz,NA,-26.6481,15.1594,54.61,69,0,22.46,clear sky
28,Mar Del Plata,AR,-38.0023,-57.5575,54.09,95,100,7.0,overcast clouds
29,Lorengau,PG,-2.0226,147.2712,81.82,77,58,7.85,broken clouds
30,Dingle,PH,10.9995,122.6711,75.94,91,100,5.06,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,54.81,80,29,0.85,light rain
32,Atuona,PF,-9.8,-139.0333,76.15,79,14,19.22,light rain
33,Santiago Del Estero,AR,-27.7951,-64.2615,74.23,27,0,12.86,clear sky
34,Saint-Philippe,RE,-21.3585,55.7679,65.79,83,22,11.12,few clouds
35,Mataura,NZ,-46.1927,168.8643,51.75,78,100,2.3,moderate rain
36,Bredasdorp,ZA,-34.5322,20.0403,50.45,92,18,5.28,few clouds
37,Bethel,US,41.3712,-73.414,80.76,67,100,5.75,overcast clouds
38,Ossora,RU,59.2353,163.0719,48.79,81,100,13.76,overcast clouds
39,Najran,SA,17.4924,44.1277,83.05,21,87,4.07,overcast clouds
40,New Norfolk,AU,-42.7826,147.0587,44.71,82,81,2.59,broken clouds
41,Busselton,AU,-33.65,115.3333,57.36,81,99,12.77,overcast clouds
42,Esperance,AU,-33.8667,121.9,49.84,69,86,14.81,overcast clouds
43,Jamestown,US,42.097,-79.2353,75.18,66,100,11.99,overcast clouds
44,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,10.36,clear sky
45,Butaritari,KI,3.0707,172.7902,82.51,66,86,15.57,overcast clouds
46,Guerrero Negro,MX,27.9769,-114.0611,70.59,74,100,14.0,overcast clouds
47,Grand-Santi,GF,4.25,-54.3833,87.24,55,95,1.68,overcast clouds
48,Khatanga,RU,71.9667,102.5,26.28,89,100,13.35,overcast clouds
49,Port Elizabeth,ZA,-33.918,25.5701,59.29,63,0,9.22,clear sky
50,Miandrivazo,MG,-19.5167,45.4667,77.79,48,47,3.24,scattered clouds
51,Sitka,US,57.0531,-135.33,57.09,67,20,0.0,few clouds
52,Chokurdakh,RU,70.6333,147.9167,32.85,66,100,15.82,overcast clouds
53,Salalah,OM,17.0151,54.0924,78.89,94,75,4.61,broken clouds
54,Palmer,US,42.1584,-72.3287,80.06,75,100,8.05,overcast clouds
55,Vaini,TO,-21.2,-175.2,77.16,73,75,11.5,broken clouds
56,Qaanaaq,GL,77.484,-69.3632,22.69,57,36,8.25,scattered clouds
57,Poum,NC,-20.2333,164.0167,75.38,74,0,11.81,clear sky
58,Harper,LR,4.375,-7.7169,76.01,84,98,9.06,overcast clouds
59,Rawson,AR,-43.3002,-65.1023,41.02,94,100,29.66,moderate rain
60,Hobart,AU,-42.8794,147.3294,45.05,89,20,8.05,few clouds
61,Oktyabrskoye,RU,43.0645,44.7417,60.94,82,64,4.47,broken clouds
62,Yerbogachen,RU,61.2767,108.0108,42.26,97,100,6.93,light rain
63,Carnarvon,AU,-24.8667,113.6333,58.93,62,0,14.97,clear sky
64,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,97,5.99,overcast clouds
65,Nikolskoye,RU,59.7035,30.7861,51.69,91,100,13.0,light rain
66,Bluff,NZ,-46.6,168.3333,51.01,81,86,8.7,overcast clouds
67,Tawau,MY,4.2498,117.8871,77.13,85,71,4.76,broken clouds
68,Yar-Sale,RU,66.8333,70.8333,38.07,84,69,8.81,broken clouds
69,Lompoc,US,34.6391,-120.4579,68.56,96,100,5.99,mist
70,Mayo,US,38.8876,-76.5119,86.94,65,0,4.61,clear sky
71,Frontera,MX,26.9333,-101.45,91.31,38,31,15.41,scattered clouds
72,Dikson,RU,73.5069,80.5464,34.75,64,99,8.99,overcast clouds
73,Hithadhoo,MV,-0.6,73.0833,81.64,75,91,8.48,overcast clouds
74,Kodiak,US,57.79,-152.4072,60.31,77,100,12.66,overcast clouds
75,Constitucion,CL,-35.3333,-72.4167,52.38,60,100,14.76,overcast clouds
76,Ostrovnoy,RU,68.0531,39.5131,46.58,98,83,7.25,broken clouds
77,Matay,EG,28.419,30.7792,82.06,46,0,9.73,clear sky
78,Mitsamiouli,KM,-11.3847,43.2844,75.09,82,4,10.25,clear sky
79,Harrison,US,30.4091,-89.0436,91.47,47,0,8.05,clear sky
80,Talnakh,RU,69.4865,88.3972,31.21,78,7,16.89,clear sky
81,Pouembout,NC,-21.1333,164.9,76.71,67,4,4.27,clear sky
82,Necochea,AR,-38.5473,-58.7368,49.55,86,100,15.86,overcast clouds
83,Tasiilaq,GL,65.6145,-37.6368,41.16,97,100,1.68,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,66,75,6.91,broken clouds
85,Mount Gambier,AU,-37.8333,140.7667,46.29,72,66,8.7,broken clouds
86,Iqaluit,CA,63.7506,-68.5145,46.13,70,75,15.01,broken clouds
87,Port Alfred,ZA,-33.5906,26.891,54.18,94,93,4.0,moderate rain
88,Upernavik,GL,72.7868,-56.1549,32.58,96,100,2.89,light snow
89,Berlevag,NO,70.8578,29.0864,44.6,81,75,19.57,broken clouds
90,Grindavik,IS,63.8424,-22.4338,55.35,100,100,12.66,mist
91,Malpura,IN,26.2833,75.3833,80.11,54,21,8.05,few clouds
92,Te Anau,NZ,-45.4167,167.7167,46.63,94,100,4.72,light rain
93,Udachnyy,RU,66.4167,112.4,32.45,92,100,12.95,light snow
94,Ouallam,NE,14.3188,2.0866,83.17,60,78,8.16,light rain
95,Airai,TL,-8.9266,125.4092,58.57,88,91,2.8,overcast clouds
96,Rio Gallegos,AR,-51.6226,-69.2181,46.45,53,0,14.97,clear sky
97,Severo-Kurilsk,RU,50.6789,156.125,55.2,98,100,17.07,moderate rain
98,Kupang,ID,-10.1667,123.5833,77.04,81,83,9.22,broken clouds
99,Cidreira,BR,-30.1811,-50.2056,59.76,96,100,8.9,overcast clouds
100,Saint-Francois,FR,46.4154,3.9054,48.67,81,0,2.3,clear sky
101,Eureka,US,40.8021,-124.1637,72.18,79,27,7.0,scattered clouds
102,Saldanha,ZA,-33.0117,17.9442,51.85,88,0,10.76,clear sky
103,Mackay,AU,-21.15,149.2,74.68,94,35,2.19,scattered clouds
104,Caravelas,BR,-17.7125,-39.2481,68.86,72,3,5.75,clear sky
105,Ribeira Grande,PT,38.5167,-28.7,74.89,86,21,5.5,few clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,83,0,12.66,clear sky
107,Provideniya,RU,64.3833,-173.3,39.36,87,100,2.24,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,57.72,44,40,15.01,scattered clouds
109,Lovrin,RO,45.9681,20.7703,46.96,80,11,9.6,few clouds
110,Qaqortoq,GL,60.7167,-46.0333,43.95,91,100,8.7,overcast clouds
111,Tiksi,RU,71.6872,128.8694,34.79,98,100,15.77,snow
112,Lavrentiya,RU,65.5833,-171.0,38.66,76,100,7.14,overcast clouds
113,Champerico,GT,14.3,-91.9167,84.74,77,91,6.69,overcast clouds
114,Samokov,BG,42.3333,23.55,48.45,70,21,3.4,few clouds
115,Barrow,US,71.2906,-156.7887,44.62,76,100,10.36,overcast clouds
116,Ust-Nera,RU,64.5667,143.2,35.04,96,100,4.74,light snow
117,Cayenne,GF,4.9333,-52.3333,84.24,74,75,2.3,broken clouds
118,Chuy,UY,-33.6971,-53.4616,60.55,86,100,5.03,overcast clouds
119,Camabatela,AO,-8.1881,15.375,65.26,88,6,2.46,clear sky
120,Muisne,EC,0.6,-80.0333,76.87,79,96,9.48,overcast clouds
121,Orel-Izumrud,RU,43.4583,39.9244,68.02,94,100,4.47,overcast clouds
122,Okha,RU,53.5739,142.9478,44.58,84,95,7.43,overcast clouds
123,Lichinga,MZ,-13.3128,35.2406,62.69,63,0,9.22,clear sky
124,Port Macquarie,AU,-31.4333,152.9167,53.89,74,4,5.3,clear sky
125,Laguna,US,38.421,-121.4238,78.17,61,100,12.66,overcast clouds
126,Garden City,US,42.3256,-83.331,84.45,43,20,10.36,few clouds
127,Narsaq,GL,60.9167,-46.05,50.22,89,100,6.35,overcast clouds
128,Qingdao,CN,36.0986,120.3719,60.4,72,0,6.71,clear sky
129,Kununurra,AU,-15.7667,128.7333,71.58,94,14,0.0,few clouds
130,Kirakira,SB,-10.4544,161.9205,81.27,81,85,10.85,overcast clouds
131,Osa,RU,57.2829,55.4567,61.84,71,97,8.68,overcast clouds
132,Namie,JP,37.4833,141.0,82.71,84,88,1.01,heavy intensity rain
133,Samarai,PG,-10.6167,150.6667,80.26,84,100,14.47,overcast clouds
134,Zhigansk,RU,66.7697,123.3711,26.83,86,16,3.87,few clouds
135,Sorland,NO,67.667,12.6934,46.26,63,100,21.03,overcast clouds
